N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
608,24.6576560118759,PLS,NaN,0.0016812,0.0676349,NaN,NaN
608,24.6576560118759,Diag,NaN,0.0035417,0.0656042,NaN,NaN
608,24.6576560118759,FS,10000,0.0105132,0.0658309,0.968062889542936,NaN
608,24.6576560118759,FS,100000000,0.0669831,0.1103031,0.282207626385042,NaN
608,24.6576560118759,FS,1000000000000,0.0826732,0.1237975,0,NaN
608,24.6576560118759,FC,10000,0.0233067,0.0828829,0.752997316481995,NaN
608,24.6576560118759,FC,100000000,0.0785252,0.1226294,0,NaN
608,24.6576560118759,FC,1000000000000,0.0741524,0.1237007,0,NaN
870,29.4957624075053,PLS,NaN,0.0044781,0.1107559,NaN,NaN
870,29.4957624075053,Diag,NaN,0.003955,0.0944271,NaN,NaN
870,29.4957624075053,FS,10000,0.0209535,0.0985427,0.968304927995772,NaN
870,29.4957624075053,FS,100000000,0.1242044,0.1827599,0.280073985995508,NaN
870,29.4957624075053,FS,1000000000000,0.1593265,0.2201472,0,NaN
870,29.4957624075053,FC,10000,0.0464703,0.1244896,0.821437442198441,NaN
870,29.4957624075053,FC,100000000,0.1621992,0.216385,0,NaN
870,29.4957624075053,FC,1000000000000,0.158296,0.2212963,0,NaN
1498,38.7040049607273,PLS,NaN,0.0180312,0.1579932,NaN,NaN
1498,38.7040049607273,Diag,NaN,0.0140066,0.1599037,NaN,NaN
1498,38.7040049607273,FS,10000,0.0563473,0.1679488,0.968951035737904,NaN
1498,38.7040049607273,FS,100000000,0.3434742,0.4417967,0.274393450279055,NaN
1498,38.7040049607273,FS,1000000000000,0.454934,0.5410376,0,NaN
1498,38.7040049607273,FC,10000,0.1036163,0.1993657,0.890608929395848,NaN
1498,38.7040049607273,FC,100000000,0.4642271,0.5443559,0,NaN
1498,38.7040049607273,FC,1000000000000,0.4401166,0.53184,0,NaN
2083,45.6398948289761,PLS,NaN,0.0325394,0.2318928,NaN,NaN
2083,45.6398948289761,Diag,NaN,0.0308969,0.2271827,NaN,NaN
2083,45.6398948289761,FS,10000,0.1205905,0.2522123,0.96938501999014,NaN
2083,45.6398948289761,FS,100000000,0.6783238,0.7736642,0.26763487150743,NaN
2083,45.6398948289761,FS,1000000000000,0.9009186,0.9870548,0,NaN
2083,45.6398948289761,FC,10000,0.1625318,0.2822468,0.924378106930138,NaN
2083,45.6398948289761,FC,100000000,0.9188913,1.0076452,0,NaN
2083,45.6398948289761,FC,1000000000000,0.8900212,0.9742822,0,NaN
3113,55.7942649382533,PLS,NaN,0.116986,0.3231567,NaN,NaN
3113,55.7942649382533,Diag,NaN,0.1124903,0.3373018,NaN,NaN
3113,55.7942649382533,FS,10000,0.3019357,0.3850795,0.969580432677737,NaN
3113,55.7942649382533,FS,100000000,1.6228225,1.5876056,0.258780288746951,NaN
3113,55.7942649382533,FS,1000000000000,2.1348888,2.0848401,0,NaN
3113,55.7942649382533,FC,10000,0.3449147,0.4206288,0.948784353439856,NaN
3113,55.7942649382533,FC,100000000,2.0874648,2.0118735,0.0460322601849245,NaN
3113,55.7942649382533,FC,1000000000000,2.1178671,2.0413716,0,NaN
5364,73.2393336944022,PLS,NaN,0.3797314,0.5628756,NaN,NaN
5364,73.2393336944022,Diag,NaN,0.3728599,0.5663471,NaN,NaN
5364,73.2393336944022,FS,10000,0.9713179,0.7323339,0.969720805591562,NaN
5364,73.2393336944022,FS,100000000,5.2988803,4.6520916,0.251191485090484,NaN
5364,73.2393336944022,FS,1000000000000,6.5692721,6.296863,0,NaN
5364,73.2393336944022,FC,10000,0.9468137,0.7367415,0.969720805591562,NaN
5364,73.2393336944022,FC,100000000,5.3867486,4.6210731,0.251191485090484,NaN
5364,73.2393336944022,FC,1000000000000,6.8083436,5.7928408,0,NaN
